date,dow,setup,side,lots,entry,stop,target,exit,pnl,net,exit_why,fill_hm,exit_hm
2026-07-22,2,T2R,-1,7,29617.4,29636.85,29529.875,29529.875,1225.3500000000204,1216.6700000000203,target,1120,1355
2026-07-23,3,T2R,1,6,28904.7,28881.925,29007.1875,28881.925,-273.30000000001746,-283.74000000001746,stop,1050,1050
2026-07-29,2,T1-Z1,-1,1,27924.45,28039.075,27832.75,27832.75,183.40000000000146,182.16000000000145,target,1030,1040
2026-08-06,3,T1-Z1,1,1,29854.375,29726.725,29960.75,29960.75,212.75,211.51,target,1035,1100
2026-08-07,4,T2X,1,5,29987.25,29961.5,30167.5,30127.75,1405.0,1398.8,eod,1225,1555
2026-08-10,0,T1-Z1,1,2,30149.0,30094.7,30194.25,30094.7,-217.1999999999971,-220.67999999999708,stop,1030,1050
2026-08-11,1,T1-Z3a,1,1,30072.0,29981.9375,30137.0,29981.9375,-180.125,-182.365,stop,1025,1130
2026-08-11,1,T2R,1,7,29888.9,29868.225,29981.9375,29868.225,-289.45000000004075,-301.63000000004075,stop,1310,1315
2026-08-12,2,T2X,-1,9,30219.125,30234.45,30104.1875,30147.25,1293.75,1282.59,eod,1040,1555
2026-08-13,3,T1-Z1,1,1,30438.25,30325.75,30532.0,30532.0,187.5,186.26,target,1130,1315
2026-08-14,4,T1-Z1,-1,4,30457.8,30494.425,30428.5,30428.5,234.39999999999418,229.43999999999417,target,1030,1055
2026-08-18,1,T2R,1,7,29822.15,29801.975,29912.9375,29923.025,1412.25,1403.57,reversed,1100,1145
2026-08-18,1,T2X,-1,2,29923.025,29983.55,29812.0625,29880.5,170.10000000000582,167.62000000000583,eod,1145,1555
2026-08-20,3,T2R,1,9,29565.6,29549.025,29640.1875,29640.1875,1342.5750000000262,1331.415000000026,target,1145,1200
2026-08-21,4,T1-Z1,-1,2,29573.75,29628.0125,29514.5,29628.0125,-217.0500000000029,-220.5300000000029,stop,1030,1100
2026-08-24,0,T1-Z1,-1,2,29306.5,29375.2,29242.0,29375.2,-274.8000000000029,-278.28000000000293,stop,1030,1030
2026-08-25,1,T1-Z1,-1,2,29544.85,29596.5375,29503.5,29503.5,165.39999999999418,162.9199999999942,target,1035,1040
2026-08-25,1,T2X,-1,2,29565.525,29627.55,29451.8125,29564.5,4.100000000005821,1.6200000000058208,eod,1125,1555
